mkt_unique_carrier,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,dest_airport_id,dest,arr_delay,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,year,month,day_of_month,day_of_week,dep_hour_of_day,arr_hour_of_day,origin_state,destination_state,arr_delay_mean_by_mkt_unique_carrier,arr_delay_mean_by_op_unique_carrier,arr_delay_encoded,origin_dest_pair,quarter_Q1,quarter_Q2,quarter_Q3,quarter_Q4,dep_time_of_day_afternoon,dep_time_of_day_evening,dep_time_of_day_morning,dep_time_of_day_night,arr_time_of_day_afternoon,arr_time_of_day_evening,arr_time_of_day_morning,arr_time_of_day_night
0,0,2432,15,3606,2432,13930,ORD,12945,LEX,-9.0,75,69.0,51.0,1,323,2019,9,15,6,22,0,IL,KY,5.328595793064243,5.849722530521643,0,ORD-LEX,0,0,1,0,0,1,0,0,0,0,0,1
0,0,434,1,397,434,13204,MCO,11057,CLT,60.0,108,171.0,113.0,1,468,2018,8,31,4,15,17,FL,NC,5.328595793064243,5.396409761887101,1,MCO-CLT,0,0,1,0,1,0,0,0,0,1,0,0
8,8,3197,5,186,3197,11618,EWR,13485,MSN,87.0,155,163.0,120.0,1,799,2019,7,16,1,21,23,NJ,WI,10.231880437950128,24.96,1,EWR-MSN,0,0,1,0,0,1,0,0,0,1,0,0
1,1,2352,18,448,2352,14869,SLC,14057,PDX,45.0,140,153.0,99.0,1,630,2019,2,6,2,6,8,UT,OR,1.3057672946929382,7.3318759936407,1,SLC-PDX,1,0,0,0,0,0,1,0,0,0,1,0
1,1,2302,18,439,2302,14831,SJC,14908,SNA,-21.0,90,78.0,62.0,1,342,2019,7,5,4,10,12,CA,CA,1.3057672946929382,7.3318759936407,0,SJC-SNA,0,0,1,0,0,0,1,0,1,0,0,0
2,2,953,4,822,953,10721,BOS,14100,PHL,56.0,89,82.0,65.0,1,280,2019,3,1,4,21,23,MA,PA,6.360829389226956,6.360829389226956,1,BOS-PHL,1,0,0,0,0,1,0,0,0,1,0,0
2,2,20,4,1787,20,13204,MCO,11618,EWR,-21.0,165,157.0,133.0,1,937,2019,4,29,0,10,13,FL,NJ,6.360829389226956,6.360829389226956,0,MCO-EWR,0,1,0,0,0,0,1,0,1,0,0,0
10,10,964,23,484,964,14771,SFO,12892,LAX,23.0,90,82.0,55.0,1,337,2019,12,30,0,12,14,CA,CA,2.438349885408711,2.438349885408711,1,SFO-LAX,0,0,0,1,1,0,0,0,1,0,0,0
8,8,3961,24,3050,3961,12266,IAH,13931,ORF,-18.0,188,166.0,151.0,1,1201,2019,6,21,4,18,22,TX,VA,10.231880437950128,11.298761609907121,0,IAH-ORF,0,1,0,0,0,1,0,0,0,1,0,0
8,8,3917,24,3561,3917,15016,STL,12266,IAH,86.0,139,144.0,103.0,1,667,2018,1,12,4,15,17,MO,TX,10.231880437950128,11.298761609907121,1,STL-IAH,1,0,0,0,1,0,0,0,0,1,0,0
