month,airline_id,unique_carrier,carrier,carrier_name,carrier_group_new,sdomt_gallons,satl_gallons,spac_gallons,slat_gallons,sint_gallons,ts_gallons,tdomt_gallons,tint_gallons,total_gallons,sdomt_cost,satl_cost,spac_cost,slat_cost,sint_cost,ts_cost,tdomt_cost,tint_cost,total_cost,year
8,21167.0,CP,CP,Compass Airlines,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,2016
4,20405.0,N8,MRQ,"National Air Cargo Group, Inc. d/b/a Murray Air",1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1604879.0,1604979.0,0,0.0,0.0,0.0,0.0,0,0,4432422.0,4432422,2015
6,19393.0,WN,WN,Southwest Airlines Co.,3,167617869.0,0.0,0.0,1288322.0,1288322.0,168906191.0,167929798.0,1288322.0,169218120.0,329546985,0.0,0.0,2840242.0,2840242.0,332387227,330197128,2840242.0,333037370,2015
3,20398.0,MQ,MQ,Envoy Air,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,2017
11,20308.0,WE,WE,Centurion Cargo Inc.,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357767.0,357767.0,0,0.0,0.0,0.0,0.0,0,0,582292.0,582292,2016
3,21352.0,0WQ,0WQ,Avjet Corporation,1,0.0,0.0,0.0,0.0,0.0,0.0,12505.0,0.0,12505.0,0,0.0,0.0,0.0,0.0,0,32637,0.0,32637,2016
8,20107.0,FX,FX,Federal Express Corporation,3,58892020.0,11694697.0,19234563.0,2081069.0,33010329.0,91902349.0,59971704.0,33396648.0,93368352.0,76959000,15826000.0,26775000.0,3248000.0,45849000.0,122808000,78393000,46387000.0,124780000,2016
6,20151.0,M6,M6,Amerijet International,2,0.0,0.0,0.0,1475430.0,1475430.0,1475430.0,471522.0,1806967.0,2278489.0,0,0.0,0.0,3000033.0,3000033.0,3000033,958759,3674157.0,4632916,2015
11,20100.0,PO,PO,Polar Air Cargo Airways,3,3062327.0,720572.0,13181108.0,0.0,13901680.0,16964007.0,3062327.0,13901680.0,16964007.0,6611955,1873198.0,29783259.0,0.0,31656457.0,38268412,6611955,31656457.0,38268412,2018
2,20398.0,MQ,MQ,Envoy Air,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,2016
